City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Lokoja,NG,2022-05-16 May:48:21,7.8024,6.743,297.71,87,97,1.69
253,Macklin,CA,2022-05-16 May:48:21,52.3334,-109.9348,292.34,48,84,8.54
254,Flinders,AU,2022-05-16 May:48:22,-34.5833,150.8552,291.58,54,0,1.34
255,High Level,CA,2022-05-16 May:48:22,58.5169,-117.136,288.21,41,100,7.2
256,Saint-Pierre,RE,2022-05-16 May:48:23,-21.3393,55.4781,294.97,78,100,4.12
257,Manta,EC,2022-05-16 May:48:23,-0.95,-80.7333,300.03,74,75,5.14
258,Port Lincoln,AU,2022-05-16 May:43:58,-34.7333,135.8667,288.38,64,94,2.95
259,Tasiilaq,GL,2022-05-16 May:48:23,65.6145,-37.6368,276.24,99,100,2.59
260,Atuona,PF,2022-05-16 May:48:24,-9.8,-139.0333,299.33,68,7,7.02
261,Namtsy,RU,2022-05-16 May:48:24,62.7161,129.6658,276.71,85,100,2.83
262,Lake Charles,US,2022-05-16 May:48:25,30.2131,-93.2044,305.14,48,0,2.06
263,Emba,KZ,2022-05-16 May:48:25,48.8264,58.1442,283.95,86,53,3.68
264,Pestravka,RU,2022-05-16 May:48:25,52.405,49.9583,281.08,94,30,4.65
265,Ust-Kuyga,RU,2022-05-16 May:48:30,70.0167,135.6,271.15,89,100,0.35
266,Manggar,ID,2022-05-16 May:48:30,-2.8833,108.2667,300.06,84,100,1.58
267,Bubaque,GW,2022-05-16 May:48:31,11.2833,-15.8333,299.55,84,99,5.02
268,Nova Gradiska,HR,2022-05-16 May:48:31,45.255,17.3831,292.09,92,99,1.22
269,Talaya,RU,2022-05-16 May:48:32,61.3833,152.75,277.24,67,25,4.51
270,Auckland,NZ,2022-05-16 May:43:45,-36.8667,174.7667,294.1,86,40,6.17
271,Aljezur,PT,2022-05-16 May:48:32,37.3191,-8.8033,289.52,91,0,1.14
272,Christchurch,NZ,2022-05-16 May:44:09,-43.5333,172.6333,288.94,89,67,1.03
273,Wajima,JP,2022-05-16 May:48:32,37.4,136.9,290.53,55,0,0.51
274,Mar Del Plata,AR,2022-05-16 May:44:05,-38.0023,-57.5575,286.45,81,100,7.2
275,Gabu,GW,2022-05-16 May:49:33,12.2833,-14.2167,299.88,73,96,3.94
276,Beringovskiy,RU,2022-05-16 May:49:33,63.05,179.3167,276.37,78,38,1.63
277,Avera,US,2022-05-16 May:49:34,33.194,-82.5271,303.18,55,70,3.98
278,Chivay,PE,2022-05-16 May:49:34,-15.6383,-71.6011,281.85,46,58,2.84
279,Ustye,RU,2022-05-16 May:49:34,59.6304,39.736,278.59,96,95,3.25
280,Saint-Philippe,RE,2022-05-16 May:49:35,-21.3585,55.7679,294.92,84,70,5.61
281,Wisconsin Rapids,US,2022-05-16 May:49:35,44.3836,-89.8174,294.11,28,0,7.72
282,Lompoc,US,2022-05-16 May:49:35,34.6391,-120.4579,295.2,73,100,9.26
283,Bone,DE,2022-05-16 May:49:36,51.9669,12.1396,290.29,80,100,3.88
284,Glendive,US,2022-05-16 May:49:36,47.1053,-104.7125,298.42,36,100,5.81
285,Aleksandrovsk-Sakhalinskiy,RU,2022-05-16 May:49:36,50.8975,142.1561,281.99,74,49,6.1
286,Hasaki,JP,2022-05-16 May:49:37,35.7333,140.8333,290.53,84,100,7.63
287,Inirida,CO,2022-05-16 May:49:37,3.8653,-67.9239,296.42,99,99,0.62
288,Touros,BR,2022-05-16 May:49:38,-5.1989,-35.4608,299.16,87,76,4.04
289,Dubai,AE,2022-05-16 May:45:22,25.2582,55.3047,301.11,54,0,2.57
290,Sechura,PE,2022-05-16 May:49:38,-5.5569,-80.8222,293.69,75,46,6.22
291,Bambanglipuro,ID,2022-05-16 May:49:39,-7.95,110.2833,298.73,85,71,1.72
292,Teguise,ES,2022-05-16 May:47:25,29.0605,-13.564,291.27,77,20,5.66
