City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
301,Acapulco,MX,16.8634,-99.8901,82.22,61,40,12.66,scattered clouds
302,Nouadhibou,MR,20.931,-17.0347,67.98,88,37,20.71,scattered clouds
303,Amapa,BR,1.0,-52.0,70.3,100,100,2.26,overcast clouds
304,Pangoa,PE,-12.1167,-73.0,66.25,85,56,1.9,broken clouds
305,Fukue,JP,32.6881,128.8419,70.16,73,40,13.8,scattered clouds
306,Gawler,AU,-34.6,138.7333,60.48,68,72,11.99,broken clouds
307,Thompson,CA,55.7435,-97.8558,39.36,60,100,12.66,overcast clouds
308,La Ronge,CA,55.1001,-105.2842,52.05,16,75,18.41,broken clouds
309,Lorengau,PG,-2.0226,147.2712,83.71,77,99,9.42,moderate rain
310,Biloela,AU,-24.4167,150.5,61.38,94,100,17.76,light rain
311,Turka,UA,49.1541,23.0297,53.49,84,48,7.7,scattered clouds
312,Kargopol,RU,61.5071,38.9456,31.77,82,100,3.22,overcast clouds
313,San Antonio,US,29.4241,-98.4936,91.15,64,0,21.85,clear sky
314,Rio Gallegos,AR,-51.6226,-69.2181,35.65,93,20,6.91,few clouds
315,Tadine,NC,-21.55,167.8833,72.97,91,100,24.63,overcast clouds
316,Hami,CN,42.8,93.45,72.99,31,48,12.41,scattered clouds
317,Urumqi,CN,43.801,87.6005,67.15,37,0,4.47,clear sky
318,Coos Bay,US,43.3665,-124.2179,63.32,78,0,27.63,clear sky
319,Hithadhoo,MV,-0.6,73.0833,82.62,72,79,8.95,broken clouds
320,Alyangula,AU,-13.8483,136.4192,83.21,62,0,15.5,clear sky
321,Erenhot,CN,43.6475,111.9767,72.5,17,28,5.86,scattered clouds
322,Gornopravdinsk,RU,60.05,69.9,38.28,89,90,11.36,overcast clouds
323,San Quintin,MX,30.4833,-115.95,64.65,73,47,8.95,scattered clouds
324,Srednekolymsk,RU,67.45,153.6833,56.64,40,72,9.08,broken clouds
325,Muli,MV,2.9167,73.5667,83.75,74,27,11.48,scattered clouds
326,Kailua,US,21.4022,-157.7394,84.18,72,20,10.36,few clouds
327,Entre Rios,BR,-11.9419,-38.0844,71.01,73,99,4.94,overcast clouds
328,Kununurra,AU,-15.7667,128.7333,84.18,37,1,16.11,clear sky
329,Tezu,IN,27.9167,96.1667,69.08,94,85,2.82,overcast clouds
330,Tarakan,ID,3.3,117.6333,81.9,89,20,4.61,few clouds
331,Coihaique,CL,-45.5752,-72.0662,46.35,71,75,5.75,light intensity shower rain
332,Kolosovka,RU,56.4678,73.611,44.55,69,78,6.11,broken clouds
333,Porto Novo,BJ,6.4965,2.6036,82.22,84,89,7.47,overcast clouds
334,Sitka,US,57.0531,-135.33,53.49,76,0,3.44,clear sky
335,Trairi,BR,-3.2778,-39.2689,76.55,87,85,4.18,overcast clouds
336,Kinel,RU,53.2333,50.65,42.04,87,57,11.68,broken clouds
337,Shah Alam,MY,3.0851,101.5328,80.31,89,20,2.3,few clouds
338,Sangar,RU,63.9242,127.4739,46.67,59,7,1.61,clear sky
339,Lorient,FR,47.8333,-3.25,58.89,86,73,2.3,broken clouds
340,Urusha,RU,54.05,122.9,55.11,41,52,9.19,broken clouds
341,Tabas,IR,33.5959,56.9244,79.95,14,3,5.93,clear sky
342,Crawfordsville,US,40.0411,-86.8745,82.63,29,0,16.11,clear sky
343,Aswan,EG,24.0934,32.907,84.24,16,0,13.42,clear sky
344,Wilmington,US,34.2257,-77.9447,82.31,68,0,13.8,clear sky
345,Batemans Bay,AU,-35.7167,150.1833,59.09,74,80,6.26,broken clouds
346,Tual,ID,-5.6667,132.75,84.09,68,23,20.45,few clouds
